🕘️更新时间,#genre#
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=:20240213104135$订阅源
CCTV-15,https://iptv.catvod.com/live.php?id=CCTV-15$订阅源
CCTV-15,https://iptv.catvod.com/live.php?id=CCTV15$订阅源
CCTV-16,https://iptv.catvod.com/live.php?id=CCTV16$订阅源
CCTV-16,https://iptv.catvod.com/live.php?id=CCTV-16$订阅源
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8$订阅源
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8$订阅源
CCTV-17,https://iptv.catvod.com/live.php?id=CCTV17$订阅源
CCTV-17,https://iptv.catvod.com/live.php?id=CCTV-17$订阅源
CCTV-4K,https://iptv.catvod.com/live.php?id=CCTV-4K$订阅源

📡卫视频道,#genre#
北京卫视,https://iptv.catvod.com/live.php?id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
天津卫视,https://iptv.catvod.com/live.php?id=%E5%A4%A9%E6%B4%A5%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
天津卫视,https://iptv.catvod.com/live.php?id=%E5%A4%A9%E6%B4%A5%E5%8D%AB%E8%A7%86$订阅源
重庆卫视,https://iptv.catvod.com/live.php?id=%E9%87%8D%E5%BA%86%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
黑龙江卫视,https://iptv.catvod.com/live.php?id=%E9%BB%91%E9%BE%99%E6%B1%9F%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$订阅源
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$订阅源
黑龙江卫视,https://epg.pw/stream/c6c1262d0b35e59eac22bf513395f00f8b60cc5eab41f598412cdf8269312f32.m3u8$订阅源
辽宁卫视,https://iptv.catvod.com/live.php?id=%E8%BE%BD%E5%AE%81%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
吉林卫视,https://iptv.catvod.com/live.php?id=%E5%90%89%E6%9E%97%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
吉林卫视,https://iptv.catvod.com/live.php?id=%E5%90%89%E6%9E%97%E5%8D%AB%E8%A7%86$订阅源
河北卫视,https://iptv.catvod.com/live.php?id=%E6%B2%B3%E5%8C%97%E5%8D%AB%E8%A7%86$订阅源
山西卫视,https://iptv.catvod.com/live.php?id=%E5%B1%B1%E8%A5%BF%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
山西卫视,https://iptv.catvod.com/live.php?id=%E5%B1%B1%E8%A5%BF%E5%8D%AB%E8%A7%86$订阅源
内蒙古卫视,https://iptv.catvod.com/live.php?id=%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%AB%E8%A7%86$订阅源
内蒙古卫视,https://iptv.catvod.com/live.php?id=%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
内蒙古卫视,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$订阅源
内蒙古卫视,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$订阅源
山东卫视,https://iptv.catvod.com/live.php?id=%E5%B1%B1%E4%B8%9C%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
山东卫视,https://iptv.catvod.com/live.php?id=%E5%B1%B1%E4%B8%9C%E5%8D%AB%E8%A7%86$订阅源
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8$订阅源
河南卫视,https://iptv.catvod.com/live.php?id=%E6%B2%B3%E5%8D%97%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
河南卫视,https://iptv.catvod.com/live.php?id=%E6%B2%B3%E5%8D%97%E5%8D%AB%E8%A7%86$订阅源
安徽卫视,https://iptv.catvod.com/live.php?id=%E5%AE%89%E5%BE%BD%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
江苏卫视,https://iptv.catvod.com/live.php?id=%E6%B1%9F%E8%8B%8F%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
浙江卫视,https://iptv.catvod.com/live.php?id=%E6%B5%99%E6%B1%9F%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8$订阅源
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
江西卫视,https://iptv.catvod.com/live.php?id=%E6%B1%9F%E8%A5%BF%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
江西卫视,https://iptv.catvod.com/live.php?id=%E6%B1%9F%E8%A5%BF%E5%8D%AB%E8%A7%86$订阅源
湖南卫视,https://iptv.catvod.com/live.php?id=%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%86$订阅源
湖南卫视,https://iptv.catvod.com/live.php?id=%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
湖北卫视,https://iptv.catvod.com/live.php?id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
广东卫视,https://iptv.catvod.com/live.php?id=%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
深圳卫视,https://iptv.catvod.com/live.php?id=%E6%B7%B1%E5%9C%B3%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
广西卫视,https://iptv.catvod.com/live.php?id=%E5%B9%BF%E8%A5%BF%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
广西卫视,https://iptv.catvod.com/live.php?id=%E5%B9%BF%E8%A5%BF%E5%8D%AB%E8%A7%86$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8$订阅源
云南卫视,https://iptv.catvod.com/live.php?id=%E4%BA%91%E5%8D%97%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
云南卫视,https://iptv.catvod.com/live.php?id=%E4%BA%91%E5%8D%97%E5%8D%AB%E8%A7%86$订阅源
贵州卫视,https://iptv.catvod.com/live.php?id=%E8%B4%B5%E5%B7%9E%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
四川卫视,https://iptv.catvod.com/live.php?id=%E5%9B%9B%E5%B7%9D%E5%8D%AB%E8%A7%864K%E5%8F%B0$订阅源
四川卫视,https://iptv.catvod.com/live.php?id=%E5%9B%9B%E5%B7%9D%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
西藏卫视,https://iptv.catvod.com/live.php?id=%E8%A5%BF%E8%97%8F%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
西藏卫视,https://iptv.catvod.com/live.php?id=%E8%A5%BF%E8%97%8F%E5%8D%AB%E8%A7%86$订阅源
新疆卫视,https://iptv.catvod.com/live.php?id=%E6%96%B0%E7%96%86%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
甘肃卫视,https://iptv.catvod.com/live.php?id=%E7%94%98%E8%82%83%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
青海卫视,https://iptv.catvod.com/live.php?id=%E9%9D%92%E6%B5%B7%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
青海卫视,https://iptv.catvod.com/live.php?id=%E9%9D%92%E6%B5%B7%E5%8D%AB%E8%A7%86$订阅源
陕西卫视,https://iptv.catvod.com/live.php?id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86$订阅源
陕西卫视,https://iptv.catvod.com/live.php?id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
海南卫视,https://iptv.catvod.com/live.php?id=%E6%B5%B7%E5%8D%97%E5%8D%AB%E8%A7%86$订阅源
海南卫视,https://iptv.catvod.com/live.php?id=%E6%B5%B7%E5%8D%97%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
三沙卫视,https://iptv.catvod.com/live.php?id=%E4%B8%89%E6%B2%99%E5%8D%AB%E8%A7%86$订阅源
兵团卫视,https://iptv.catvod.com/live.php?id=%E5%85%B5%E5%9B%A2%E5%8D%AB%E8%A7%86%E5%8F%B0$订阅源
兵团卫视,https://iptv.catvod.com/live.php?id=%E5%85%B5%E5%9B%A2%E5%8D%AB%E8%A7%86$订阅源

📺地方频道,#genre#
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$订阅源

📺港澳台频道,#genre#
ViuTV,https://cdn.163189.xyz/163189/viu$订阅源
ViuTV,https://cdn.163189.xyz/163189/viu$订阅源
ViuTV,http://r.jdshipin.com/vSJvl$订阅源
ViuTV,http://r.jdshipin.com/vSJvl$订阅源
ViuTV,http://r.jdshipin.com/TcKr2$订阅源
ViuTV,http://hls.168.us.kg/u/99/master.m3u8$订阅源
ViuTV,http://hls.168.us.kg/u/99/master.m3u8$订阅源
台视,https://live.catvod.com/live.php?id=ttv_taiwan&token=80a2df3ce5876d43fefd024d24a1376909fe6998972321e0d34f679b657e3c27%3A1766280998%3AMjAuNTEuMjA2Ljgx$订阅源
台视,https://live.catvod.com/live.php?id=ttv_taiwan&token=b3d4f68192a2b5cc87fa030959ae7c821e8a237f84dbe094a2c5ebd16fb2630a%3A1766453072%3AMjAuMTYxLjY3LjIxMA%3D%3D$订阅源
台视,https://live.catvod.com/live.php?id=ttv_taiwan&token=d3817ce0fd336178334e06e04f64683379aef3e7e4994b5476d0749ba149001b%3A1766625897%3ANjguMjIwLjYyLjE4MA%3D%3D$订阅源
台视,https://live.catvod.com/live.php?id=ttv_taiwan&token=5c541cede9332dda0b2fb79279e5f1c8ee8b9ec4bf7a5226956247c5b9d480b9%3A1766798552%3AMTcyLjIxNC40NC40OQ%3D%3D$订阅源
台视,https://live.catvod.com/live.php?id=ttv_taiwan$订阅源
中视,https://live.catvod.com/live.php?id=zhongshihd_twn&token=2478ba9153a7628f2a928434b17ce669a6ddb48489c986fa7206a61ca286c3d1%3A1764897761%3AMTcyLjE4My45MS4zMg%3D%3D$订阅源
中视,https://live.catvod.com/live.php?id=zhongshihd_twn&token=450d157651fe0e212c93d7c0a7635263942d3d986ed0bc9f0abada8ff76f2150%3A1765071579%3ANC4yMzYuMTczLjE2MQ%3D%3D$订阅源
中视,https://live.catvod.com/live.php?id=zhongshihd_twn&token=ba7160429acf2f97bdb938500e9da5e19e7cd4515de58695597939b4420ac878%3A1765243433%3AMTcyLjIxNS4yMTAuNTI%3D$订阅源
中视,https://live.catvod.com/live.php?id=zhongshihd_twn&token=155b99ad9fba640d1a3de7e05c9ef3c5ae06442dc5e433e98d0cd607151d1290%3A1765416382%3AMTQ1LjEzMi45OS4yMQ%3D%3D$订阅源
中视,https://live.catvod.com/live.php?id=zhongshihd_twn&token=67ea007844f441c4fff3d43708e8f4126d07727e2f17cef107b9f7700c15fc28%3A1765588729%3ANjQuMjM2LjE0MC4yMTE%3D$订阅源
中视,https://live.catvod.com/live.php?id=zhongshihd_twn&token=dedbde547897b58fcc584e8ef35a72372da68b98d4343d1ae39793f8f3eeaa71%3A1765762038%3ANTIuMTU5LjI0NC44Mg%3D%3D$订阅源
中视,https://live.catvod.com/live.php?id=zhongshihd_twn&token=771aa2c34e8ac03b53361d9aa275af55422e4965a53037bc0de5bc1b9871903c%3A1765934527%3AMTcyLjE4NC4xNzUuMTQ0$订阅源
中视,https://live.catvod.com/live.php?id=zhongshihd_twn&token=74c5821ea3c55d0191b55c0ef969fe468fb5f2be319c704e60feb1abbd1bd06a%3A1766107501%3AMTI4LjI0LjE2MS4xNzY%3D$订阅源
华视,https://live.catvod.com/live.php?id=ctshd_twn&token=9edcb5ccf2865421d0f63ea14b89114df1bf2da709b33a9733398adf795b3ea8%3A1764897761%3AMTcyLjE4My45MS4zMg%3D%3D$订阅源
华视,https://live.catvod.com/live.php?id=ctshd_twn&token=e7e6f56ec3dd37d67958d1603b2087e24a8591093c5a519f3a2f9aa2bd764edb%3A1765071579%3ANC4yMzYuMTczLjE2MQ%3D%3D$订阅源
华视,https://live.catvod.com/live.php?id=ctshd_twn&token=158089c8f6a89d198ea4eaa6ec98de761478feca4a5e20cca79b6d9073960284%3A1765243433%3AMTcyLjIxNS4yMTAuNTI%3D$订阅源
华视,https://live.catvod.com/live.php?id=ctshd_twn&token=1f2428fe48597e851820d1e67bbc5ade1519979476591348c11e3ab05f59a9fa%3A1765416382%3AMTQ1LjEzMi45OS4yMQ%3D%3D$订阅源
华视,https://live.catvod.com/live.php?id=ctshd_twn&token=477a7ec481cffcb6d758a2fcd0cd908e3ef3e364314dc9282e43395dc4ebf1d2%3A1765588729%3ANjQuMjM2LjE0MC4yMTE%3D$订阅源
华视,https://live.catvod.com/live.php?id=ctshd_twn&token=d674ff223f99d2f8657fd3325762a87dc7bcccfea52f97cbb75bd250840f4a12%3A1765762038%3ANTIuMTU5LjI0NC44Mg%3D%3D$订阅源
华视,https://live.catvod.com/live.php?id=ctshd_twn&token=bd05963a00f64ad3051cc156dc6bc75e3fe9f5d2e01dec6436958a14fc95f32c%3A1765934527%3AMTcyLjE4NC4xNzUuMTQ0$订阅源
华视,https://live.catvod.com/live.php?id=ctshd_twn&token=069388fc2a39cffe0bb2a7fcfc07695228b594c992435585c83b9fbd366853b8%3A1766107501%3AMTI4LjI0LjE2MS4xNzY%3D$订阅源
公视,https://live.catvod.com/live.php?id=ctv_taiwan&token=787dfb9006bec3d682ecc527089660585c394f9af6eb520af8316bb57338ea54%3A1764724961%3ANTIuMTU5LjI0Ny4yMjY%3D$订阅源
公视,https://live.catvod.com/live.php?id=ctv_taiwan&token=ce20f1c5f5fa566ec27488a7fd49e2814cc74f8f34ca1cc85ed313521552377c%3A1764897761%3AMTcyLjE4My45MS4zMg%3D%3D$订阅源
公视,https://live.catvod.com/live.php?id=ctv_taiwan&token=4702703e9c4075d96396578348f599409305087a2c00e0d0147311ac20da443a%3A1765071579%3ANC4yMzYuMTczLjE2MQ%3D%3D$订阅源
公视,https://live.catvod.com/live.php?id=ctv_taiwan&token=15847e47dbb0815f62a26e22f9d63af9faf0a02823a236f9d954e8e590d3a1d5%3A1765243433%3AMTcyLjIxNS4yMTAuNTI%3D$订阅源
公视,https://live.catvod.com/live.php?id=ctv_taiwan&token=0903e32112de0f9b10a671e81069e97b25607db456a1f5b72682acfda08a783e%3A1765416382%3AMTQ1LjEzMi45OS4yMQ%3D%3D$订阅源
公视,https://live.catvod.com/live.php?id=ctv_taiwan&token=9c7f4f7517d82dd51f785701ea207bfdbf652eaac013937e67c0b43c0d0bd033%3A1765588729%3ANjQuMjM2LjE0MC4yMTE%3D$订阅源
公视,https://live.catvod.com/live.php?id=ctv_taiwan&token=a200eb8401a601346546906e47c0b99a6e13abbe67098ce934accacdb91129de%3A1765762038%3ANTIuMTU5LjI0NC44Mg%3D%3D$订阅源
公视,https://live.catvod.com/live.php?id=ctv_taiwan&token=b7383f60329dd9a424cb1bd9930c16c213be31ac094d551e161be8cefdff22d1%3A1765934527%3AMTcyLjE4NC4xNzUuMTQ0$订阅源
TVBS,https://live.catvod.com/live.php?id=tvbs&token=12eef52d8d6aaaf714585bb817e81778b8cabe269086a72be360334996c6e2fe%3A1764724961%3ANTIuMTU5LjI0Ny4yMjY%3D$订阅源
TVBS,https://live.catvod.com/live.php?id=tvbs&token=54ca1b6ddd4f0b87344014b2b3828563923189a2680eae8c9d311c20e1a4121c%3A1764897761%3AMTcyLjE4My45MS4zMg%3D%3D$订阅源
TVBS,https://live.catvod.com/live.php?id=tvbs&token=b25dee839120e389a4fdaeacde50db3dd2f79c98dcef04d6c867b7ca307c3ede%3A1765071579%3ANC4yMzYuMTczLjE2MQ%3D%3D$订阅源
TVBS,https://live.catvod.com/live.php?id=tvbs&token=24c5d165f09909bd7e0f40f01f514bbfe91cbd6682281fb89a2d4060dd6789aa%3A1765243433%3AMTcyLjIxNS4yMTAuNTI%3D$订阅源
TVBS,https://live.catvod.com/live.php?id=tvbs&token=522452a60aa6b9335cfe12f9481fe700a0d571b9bacbafc07a40168982916adf%3A1765416382%3AMTQ1LjEzMi45OS4yMQ%3D%3D$订阅源
TVBS,https://live.catvod.com/live.php?id=tvbs&token=7071e692c38991398164eaf11fa668df7326634026bbc96396131489a5016607%3A1765588729%3ANjQuMjM2LjE0MC4yMTE%3D$订阅源
TVBS,https://live.catvod.com/live.php?id=tvbs&token=d4f37f62de52d11a63fb2668084662ffa9811776f1bca4bde25d992464ce226f%3A1765762038%3ANTIuMTU5LjI0NC44Mg%3D%3D$订阅源
TVBS,https://live.catvod.com/live.php?id=tvbs&token=db915c6477ac2ff878c1184232ab9fec77b78aa62656e0fb113ec27d9ac9b94f%3A1765934527%3AMTcyLjE4NC4xNzUuMTQ0$订阅源
